00:58:06 | TCP   | 172.18.0.1:64855 -> 13.69.68.64:443 | Flags: A | Size: 40
00:58:07 | TCP   | 91.105.192.100:443 -> 172.18.0.1:56467 | Flags: A | Size: 40
00:58:07 | TCP   | 172.18.0.1:56467 -> 91.105.192.100:443 | Flags: A | Size: 40
00:58:08 | TCP   | 4.225.11.201:443 -> 172.18.0.1:55042 | Flags: A | Size: 40
00:58:08 | TCP   | 172.18.0.1:55042 -> 4.225.11.201:443 | Flags: A | Size: 40
00:58:08 | TCP   | 91.105.192.100:443 -> 172.18.0.1:54515 | Flags: A | Size: 40
00:58:08 | TCP   | 172.18.0.1:54515 -> 91.105.192.100:443 | Flags: A | Size: 40
00:58:08 | TCP   | 104.18.32.47:443 -> 172.18.0.1:62701 | Flags: PA | Size: 68
00:58:08 | TCP   | 172.18.0.1:62701 -> 104.18.32.47:443 | Flags: PA | Size: 72
00:58:08 | TCP   | 104.18.32.47:443 -> 172.18.0.1:62701 | Flags: A | Size: 40
00:58:09 | TCP   | 149.154.167.51:443 -> 172.18.0.1:59913 | Flags: PA | Size: 321
